Dates,Dates,MSLP,SIE,Unnamed: 3,Unnamed: 4,Unnamed: 5,year,day,month
10.0,30.0,3498.485063636364,17.406454545454544,,,,2017.0,30.0,10.0
10.0,31.0,3484.2588727272723,17.333909090909092,,,,2017.0,31.0,10.0
11.0,1.0,3494.8206454545452,17.23990909090909,,,,2017.0,1.0,11.0
11.0,2.0,3566.6960000000004,17.151272727272726,,,,2017.0,2.0,11.0
11.0,3.0,3638.0323181818185,17.069727272727274,,,,2017.0,3.0,11.0
11.0,4.0,3461.395618181818,16.979272727272726,,,,2017.0,4.0,11.0
11.0,5.0,3524.8679181818184,16.890454545454542,,,,2017.0,5.0,11.0
11.0,6.0,3690.7010000000005,16.785,,,,2017.0,6.0,11.0
11.0,7.0,3730.877836363636,16.678454545454542,,,,2017.0,7.0,11.0
11.0,8.0,3670.2439454545456,16.57418181818182,,,,2017.0,8.0,11.0
11.0,9.0,3648.215545454546,16.453272727272726,,,,2017.0,9.0,11.0
11.0,10.0,3721.2155727272734,16.341636363636365,,,,2017.0,10.0,11.0
11.0,11.0,3773.8376636363637,16.225818181818184,,,,2017.0,11.0,11.0
11.0,12.0,3732.3345363636367,16.11572727272727,,,,2017.0,12.0,11.0
11.0,13.0,3583.2013545454543,15.995,,,,2017.0,13.0,11.0
11.0,14.0,3567.2169363636363,15.871181818181816,,,,2017.0,14.0,11.0
11.0,15.0,3489.7315727272726,15.751999999999997,,,,2017.0,15.0,11.0
11.0,16.0,3326.8707454545456,15.623000000000001,,,,2017.0,16.0,11.0
11.0,17.0,3349.896309090909,15.489454545454544,,,,2017.0,17.0,11.0
11.0,18.0,3358.738654545454,15.361181818181818,,,,2017.0,18.0,11.0
11.0,19.0,3343.396309090909,15.235727272727273,,,,2017.0,19.0,11.0
11.0,20.0,3280.3764272727276,15.079454545454546,,,,2017.0,20.0,11.0
11.0,21.0,3273.6289,14.923454545454545,,,,2017.0,21.0,11.0
11.0,22.0,3434.248236363637,14.782181818181819,,,,2017.0,22.0,11.0
11.0,23.0,3509.306790909091,14.636909090909091,,,,2017.0,23.0,11.0
11.0,24.0,3605.489000000001,14.478272727272726,,,,2017.0,24.0,11.0
11.0,25.0,3550.010318181819,14.334272727272726,,,,2017.0,25.0,11.0
11.0,26.0,3286.6846727272728,14.169909090909089,,,,2017.0,26.0,11.0
11.0,27.0,3223.321745454545,13.997000000000002,,,,2017.0,27.0,11.0
11.0,28.0,3321.075309090909,13.841000000000001,,,,2017.0,28.0,11.0
11.0,29.0,3365.8771181818183,13.664363636363635,,,,2017.0,29.0,11.0
11.0,30.0,3383.4066272727273,13.474727272727273,,,,2017.0,30.0,11.0
12.0,1.0,3326.1942636363633,13.299909090909091,,,,2017.0,1.0,12.0
12.0,2.0,3213.8153636363636,13.160000000000002,,,,2017.0,2.0,12.0
12.0,3.0,3319.4023454545454,12.939636363636362,,,,2017.0,3.0,12.0
12.0,4.0,3283.3633,12.738363636363637,,,,2017.0,4.0,12.0
12.0,5.0,3444.928245454545,12.561,,,,2017.0,5.0,12.0
